author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ID 85604823;unknown;https://www.cian.ru/sale/flat/307014462/;Москва;sale;flat;6;42;1;42.0;26000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Зульфия  Галяутдинова;realtor;https://www.cian.ru/sale/flat/308225788/;Москва;sale;flat;13;14;2;61.0;29000000;Гагаринский;Университетский проспект;6К2;Воробьёвы горы;
Главстрой;developer;https://www.cian.ru/sale/flat/307942375/;Москва;sale;flat;8;13;2;53.25;25432093;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307703173/;Москва;sale;flat;6;22;2;85.0;50000000;Пресненский;Шмитовский проезд;16С2;Москва-Сити;Шмитовский 16
ID 98396578;homeowner;https://www.cian.ru/sale/flat/308733860/;Москва;sale;flat;1;9;2;45.0;17800000;Красносельский;Протопоповский переулок;38;Площадь трёх вокзалов;
MR Group;developer;https://www.cian.ru/sale/flat/306614015/;Москва;sale;flat;3;28;2;60.6;22803806;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/305913436/;Москва;sale;flat;19;23;2;71.7;30990000;Басманный;набережная Академика Туполева;15;Бауманская;Каскад
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305111360/;Москва;sale;flat;4;16;2;37.0;19000000;Пресненский;Красногвардейский бульвар;5К2;Москва-Сити;
Sminex;developer;https://www.cian.ru/sale/flat/306341785/;Москва;sale;flat;2;12;1;83.3;172590000;Хамовники;Фрунзенская набережная;30;Фрунзенская;Клубный город-парк 
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301258691/;Москва;sale;flat;2;21;2;57.23;59000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/307935729/;Москва;sale;flat;8;10;2;59.7;55000000;Таганский;Котельническая набережная;1/15кВ;Таганская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243023/;Москва;sale;flat;9;27;2;69.4;32340400;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307822693/;Москва;sale;flat;9;18;2;66.4;69700000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
ID 96167522;realtor;https://www.cian.ru/sale/flat/300137001/;Москва;sale;flat;6;9;1;37.0;7885000;Люблино; Верхние Поля;27С2;Братиславская;
MR Group;developer;https://www.cian.ru/sale/flat/308909118/;Москва;sale;flat;6;13;2;85.19;126021567;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050405/;Москва;sale;flat;7;9;2;108.3;154000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ID 47664046;unknown;https://www.cian.ru/sale/flat/308204535/;Москва;sale;flat;5;17;2;65.2;21500000;Черемушки;Профсоюзная ;30К2;Профсоюзная;
Sminex;developer;https://www.cian.ru/sale/flat/293713880/;Москва;sale;flat;2;14;2;85.6;175450000;Якиманка;;;Боровицкая;Лаврушинский ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679729/;Москва;sale;flat;9;20;2;59.0;25370000;Даниловский;;;Тульская;Форст ЖК
ID 74991203;homeowner;https://www.cian.ru/sale/flat/308079051/;Москва;sale;flat;3;24;2;53.2;19570000;Донской;Новоданиловская набережная;8к2;Верхние котлы;Новоданиловская 8
Пионер;developer;https://www.cian.ru/sale/flat/303126557/;Москва;sale;flat;3;18;2;48.5;35800507;Донской;2-й Донской проезд;10;Ленинский проспект;SHIFT
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Москва;sale;flat;9;40;1;41.5;32000000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
Ирина Василевская;realtor;https://www.cian.ru/sale/flat/272828990/;Москва;sale;flat;6;17;1;38.0;9350000;; Авиаконструктора Петлякова;7;Пыхтино;Солнцево парк
Absolute Premium;developer;https://www.cian.ru/sale/flat/308261025/;Москва;sale;flat;4;17;2;49.8;57968000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/305909779/;Москва;sale;flat;6;10;2;178.1;150000000;Тверской;Большая Грузинская ;69;Белорусская;Четыре Ветра
Voller.one;real_estate_agent;https://www.cian.ru/sale/flat/305211958/;Москва;sale;flat;4;4;2;60.0;15500000;Сокольники;2-я Рыбинская ;13;Красносельская;Loft Garden
